date,channel_name,message_id,text,sentiment,rephrased_news,title,topic,location_type,location,coords
2024-10-03T07:09:04+00:00,Straw INFO - Solomianskyi District,13213,"⚡️**McDonald’s on ""Vokzalna"" is almost completed** Work is in full swing at the site. Several floors have already been built today. The updated McDonald’s is planned to be completed by December 1.",positive,"Construction of the McDonald's on Vokzalna is progressing well, with plans for completion by December 1.",McDonald's Vokzalna Near Completion,Improvements in Infrastructure,street,Vokzalna,"[50.4413353, 30.489963]"
2024-10-02T12:30:59+00:00,Straw INFO - Solomianskyi District,13179,"**Open recruitment for work near LUKYANIVSKA metro station Ⓜ️** Our office offers you to become part of a friendly family that wants to deprive the Russians of the opportunity to finance the war. **Office work, not remote** 1. Chat manager vacancy (ONLY MESSAGING): - You need to conduct short correspondence with clients and pass it on to senior specialists - Salary from 30,000 UAH per month. Payments weekly. 2. Call manager vacancy: - Processing clients according to a prepared script, after correspondence - Salary from 50,000 UAH per month. Payments weekly. **Requirements:** - Work schedule from 08:00 to 17:00, 5 on 2 - Proficient in Russian. **We hire without experience, full training provided.** **Send a message to the manager indicating which vacancy you are interested in!** @HrKiev900",positive,"Recruitment is open for positions near LUKYANIVSKA metro station, offering roles in office work with competitive salaries.",Job Openings Near LUKYANIVSKA Metro,Economic Growth,exact location,Lukyanivska metro station,"[50.4611471, 30.48363239999999]"
2024-10-02T11:56:46+00:00,Straw INFO - Solomianskyi District,13174,🤔 Mokra Street. It has been almost a year since the city has been unable to remove the remains of cars that burned during the Russian attack last winter.,negative,Mokra Street has not seen the removal of burned car remains from last winter's Russian attack for nearly a year.,Burned Cars Remain on Mokra Street,Deterioration in Infrastructure,street,Mokra Street,"[50.4316826, 30.4881299]"
2024-10-02T05:38:38+00:00,Straw INFO - Solomianskyi District,13168,"⚡️ **Accident near the National Aviation University in Vidradne,** — eyewitnesses. Traffic is complicated along the entire Borshchahivska line of the fast tram.",negative,An accident near the National Aviation University has caused traffic disruptions along the Borshchahivska tram line.,Traffic Accident Near National Aviation University,Citizen Discomfort,exact location,National Aviation University,"[50.4400743, 30.4298761]"
2024-10-02T05:38:38+00:00,Straw INFO - Solomianskyi District,13168,"⚡️ **Accident near the National Aviation University in Vidradne,** — eyewitnesses. Traffic is complicated along the entire Borshchahivska line of the fast tram.",negative,An accident near the National Aviation University has caused traffic disruptions along the Borshchahivska tram line.,Traffic Accident Near National Aviation University,Citizen Discomfort,exact location,Borshchahivska tram line,"[50.42576889999999, 30.3743572]"
2024-10-01T19:09:33+00:00,Straw INFO - Solomianskyi District,13166,"McDonald’s at ""Vokzalna"" is almost completed. Work is in full swing at the site. Today several floors have already been built. The updated McDonald’s is planned to be completed by December 1.",positive,"Construction of a new McDonald's at 'Vokzalna' is nearing completion, with plans to finish by December 1.",McDonald's at Vokzalna Nears Completion,Improvements in Infrastructure,exact location,Vokzalna,"[50.4413353, 30.489963]"
2024-10-01T09:47:22+00:00,Straw INFO - Solomianskyi District,13152,"❕❕ We are looking for a **sales consultant** who wants to earn and develop ❕❕ 💜 ready to teach everything 🤝 💜 salary 16,000-20,000 UAH 💵 💜 flexible work schedule (3\2; 4\2; 2\2) ⏰ 💜 convenient location near Ⓜ️ Vokzalna: 📍 Vokzalna Square 1 To register for an interview, call **(093) 145 72 34** or fill out the [form](https://docs.google.com/forms/d/e/1FAIpQLSdlTXLFyNRqPUGWB7wZyRMKvx0AEKuDKISv3tR3jeh9n7zZLQ/viewform) Join our team! 🌟",positive,"A sales consultant position is available near Vokzalna, offering a flexible schedule and a salary of 16,000-20,000 UAH.",Sales Consultant Positions Available,Economic Growth,exact location,Vokzalna,"[50.4413353, 30.489963]"
2024-10-01T06:34:48+00:00,Straw INFO - Solomianskyi District,13145,"🕯 At 9:00, Kyiv honored the memory of fallen Defenders with a moment of silence and a halt to traffic on Khreshchatyk and Independence Square.",positive,"At 9:00, Kyiv observed a moment of silence to honor fallen defenders, halting traffic on Khreshchatyk and Independence Square.",Kyiv Honors Fallen Defenders,Community Events or Achievements,exact location,Khreshchatyk,"[50.4477412, 30.5220779]"
2024-09-30T16:27:01+00:00,Straw INFO - Solomianskyi District,13132,"🤔 Who doesn't know Halyna Yablonska? It seems that people all over the world know her. 👏 But at the Central Library of Solomianskyi, you will have the opportunity to participate in a heartfelt conversation with a living legend this Thursday, October 3, at 16:30 and learn about what is most significant and dear to her!",positive,"A conversation with Halyna Yablonska will take place at the Central Library of Solomianskyi on Thursday, October 3, at 16:30.",Meet Halyna Yablonska in Kyiv,Cultural/Sporting Milestones,exact location,Central Library of Solomianskyi,"[50.4282552, 30.4529175]"
2024-09-30T09:28:30+00:00,Straw INFO - Solomianskyi District,13118,"At the ""Vokzalna"" metro station, a passenger who fell onto the tracks is alive. The police are already on site, and an ambulance has been called for the woman. Train movement has been restored, with delays of no more than 7 minutes.",negative,"A passenger who fell onto the tracks at the 'Vokzalna' metro station is alive, and emergency services are on site.",Passenger Rescued at Metro Station,Accidents or Disasters,exact location,Vokzalna metro station,"[50.4413353, 30.489963]"
2024-09-30T08:42:04+00:00,Straw INFO - Solomianskyi District,13116,"🍎🍏🫐 On October 5, agricultural fairs will be held in the Solomianskyi district on Akademika Shalimova Street (between Lyubomyr Huzar Avenue, 28 and Vasyl Chumak Street).",positive,Agricultural fairs will be held in the Solomianskyi district on Akademika Shalimova Street on October 5.,Agricultural Fairs in Solomianskyi,Community Events or Achievements,street,Akademika Shalimova Street,"[50.4364523, 30.4198901]"
2024-09-30T08:08:20+00:00,Straw INFO - Solomianskyi District,13115,"The mirror opens! 📚✨ On September 30, we celebrate the All-Ukrainian Library Day! This day is an opportunity to look at the library from a new angle: with humor, creativity, and inspiration. The Central Library of Solomianskyi named after Hryhorii Skovoroda invites you to the Library Mirror, where everyone will find something for themselves — from memes to master classes. 😄 ""Speak in library language"" — an online presentation of library memes. 😍 ""Library science = art. How is that?"" — a creative workshop by librarians: poetess Tetiana Yarovitsyna, musician Ihor Yakubovskyi, historian-writer Oleksandr Mykhailik. ☕️ ""If you wrote a book, what would it be about?"" — 30 minutes of conversation and coffee/tea with your chosen/favorite/interesting librarian. 📚 ""How to find a book in 5 minutes"" — a master class on improving the personalization of reader services. 🤗 We look forward to seeing you on September 30 at the Library Mirror on Osviity Street, 14a from 9:00 to 19:00 — together we will make this day special!",positive,"The Central Library of Solomianskyi is hosting the Library Mirror event on September 30, celebrating All-Ukrainian Library Day with various activities.",Library Day Celebrated in Kyiv,Community Events or Achievements,exact location,Central Library of Solomianskyi,"[50.4282552, 30.4529175]"
2024-09-30T08:01:17+00:00,Straw INFO - Solomianskyi District,13114,"😱🚇 At the Vokzalna metro station, a suicide attempt. A person fell onto the tracks.",negative,A person fell onto the tracks at the Vokzalna metro station in a reported suicide attempt.,Suicide Attempt at Metro Station,Accidents or Disasters,exact location,Vokzalna metro station,"[50.4413353, 30.489963]"
2024-09-30T07:28:46+00:00,Straw INFO - Solomianskyi District,13111,"In Kyiv, an exhibition on men's mental health has opened at the railway station. A photo exhibition titled ""Be a Friend. To Yourself Too"" was presented at the central railway station in Kyiv, highlighting the important topic of men's mental health. The exhibition consists of photographs depicting rescuers, police officers, National Guard soldiers, and border guards working in the challenging conditions of war. The photographs on the stands show events that occurred during the full-scale war, including evacuations, shelling, and other difficult moments. They convey not only material destruction but also the deep emotional burden that accompanies Ukrainians every day. The aim of the event is to draw attention to the topic of mental health, both among law enforcement agencies and in Ukrainian society as a whole.",negative,"An exhibition on men's mental health has opened at the central railway station in Kyiv, featuring photographs of first responders and military personnel during the war.",Men's Mental Health Exhibition Opens,Other,exact location,central railway station in Kyiv,"[50.4503596, 30.5245025]"
2024-09-29T07:59:04+00:00,Straw INFO - Solomianskyi District,13081,"☀️ On this sunny and warm Saturday, a cleanup was held in the park named after Mykola Zerov. During the cleanup, a flowerbed was arranged using perennial and cereal plants, including daylilies, liriope, hostas, switchgrass, and astilbe 🌸🌾. More than 70 benches were also repaired and painted. It will be a bit inconvenient temporarily, but in a few days you will be able to relax on the bench and enjoy the autumn coziness of the park 🍁.",positive,"A cleanup event took place at Mykola Zerov Park, where a flowerbed was created with various perennial and cereal plants, including daylilies and hostas. Over 70 benches were also repaired and painted, with temporary inconvenience expected before they can be used to enjoy the park's autumn ambiance.",Park Cleanup Enhances Mykola Zerov,Environmental Improvements,exact location,Mykola Zerov Park,"[50.430245, 30.4694361]"
2024-09-27T12:25:23+00:00,Straw INFO - Solomianskyi District,13072,"🍉 Time for the demonstration feedings at the Kyiv Zoo

➡️ 12:00 – gorilla Toni;
➡️ 12:20 – lions Hercules, Kristina, Viliya, and Darina;
➡️ 12:30 – hyenas Hasan and Tigran;
➡️ 12:40 – tigress Hekata;
➡️ 12:50 – tigers Rena and Baby;
➡️ 13:00 – tigress Dalila.",positive,"The Kyiv Zoo is hosting demonstration feedings for various animals on a scheduled basis, including gorillas, lions, and tigers.",Feeding Schedule at Kyiv Zoo,Community Events or Achievements,exact location,Kyiv Zoo,"[50.4549073, 30.4651811]"
2024-09-27T10:50:16+00:00,Straw INFO - Solomianskyi District,13068,"🍉🦍 The final watermelon weekend will take place at the Kyiv Zoo.

On the last weekend of September, Kyiv Zoo will host the final watermelon weekend of this year. On Saturday and Sunday, gorilla Toni, lions, tigers, and hyenas will be fed. The feeding will take place according to the schedule.",positive,"The Kyiv Zoo will hold its final watermelon weekend of the year, featuring feedings for gorillas, lions, tigers, and hyenas on the last weekend of September.",Final Watermelon Weekend at Zoo,Community Events or Achievements,exact location,Kyiv Zoo,"[50.4549073, 30.4651811]"
2024-09-27T10:08:01+00:00,Straw INFO - Solomianskyi District,13066,"Svitlychnyk 3.0 is a two-day local festival for the birthday of the sixtieth Ivan Svitlychnyi.

On September 28-29, we will meet at the ""Island"" platform, which is a local cultural center in Chokolivka, to celebrate the birthday of a neighbor from the past and discuss the sixtieths in broader contexts. This is all that matters to us now – attitudes towards the Soviet legacy, activism and solidarity networks, memory and commemoration practices, ultimately – how new media help to make sense of the past. The next event will be a literary evening of young authors. During the full-scale war, we continue this commemorative practice in the district space, scaling it up to a mini-festival.

👉 PROGRAM OF THE FIRST DAY

👉 PROGRAM OF THE SECOND DAY 

👉 WORKSHOPS

*The event is free! Workshops - donation to the Armed Forces of Ukraine*

📍Platform ""Island"": Volynska 9/21

📍Park Suputnyk (opposite Svitlychnyi's house): Umanska 35",positive,"The Svitlychnyk 3.0 festival will take place on September 28-29 at the 'Island' cultural center in Chokolivka, celebrating the legacy of Ivan Svitlychnyi and discussing themes related to the Soviet past and contemporary activism.",Svitlychnyk 3.0 Festival Announced,Cultural/Sporting Milestones,exact location,Chokolivka,"[50.4242067, 30.4466034]"
2024-09-27T06:59:56+00:00,Straw INFO - Solomianskyi District,13061,"An auto crash occurred on Lobanovskyi Avenue, traffic is slowed.",negative,An auto accident on Lobanovskyi Avenue has resulted in slowed traffic.,Traffic Slowdown on Lobanovskyi,Accidents or Disasters,street,Lobanovskyi Avenue,"[50.4125989, 30.4836221]"
2024-09-25T17:50:36+00:00,Straw INFO - Solomianskyi District,12971,"About the culprit of today's traffic accident on Guzar:

Oh, it's quite a wonder why this goose fell apart on Guzar, right? It seems he drives so carefully.

Remember: impunity breeds permissiveness.",negative,"A traffic accident occurred on Guzar Street, raising concerns about driving behavior.",Traffic Accident on Guzar,Accidents or Disasters,street,Guzar Street,"[18.9591534, 72.8301356]"
2024-09-25T06:42:22+00:00,Straw INFO - Solomianskyi District,12955,"🚧 Due to a traffic accident on Dehtyarivska Street, traffic is complicated in the direction of Oleksandr Dovzhenko Street.",negative,Traffic is complicated on Dehtyarivska Street due to a traffic accident.,Traffic Complications on Dehtyarivska,Accidents or Disasters,street,Dehtyarivska Street,"[50.4538219, 30.4882207]"
2024-09-24T19:03:10+00:00,Straw INFO - Solomianskyi District,12949,"🍔 There is one less McDonald's in Kyiv 😪

One of the first McDonald's in Ukraine at Sevastopol Square is closing for reconstruction.

After the reconstruction:

🍟 There will be 121 seats in the hall and 156 on the terrace.
🍟 Digital menu boards will be installed at the McDrive, an additional pickup window, and two new parking spaces for cars waiting for orders.
🍟 The restaurant will be equipped with a mobile diesel generator.

The updated establishment will open at the end of January 2025.",negative,"The McDonald's at Sevastopol Square is closing for reconstruction, with plans to reopen in January 2025.",McDonald's Closing for Renovation,Other,exact location,Sevastopol Square,"[44.61665, 33.525367]"
2024-09-23T18:55:08+00:00,Straw INFO - Solomianskyi District,12939,💥 Traffic accident on Dehtyarivska Street.,negative,A traffic accident occurred on Dehtyarivska Street.,Traffic Accident Reported,Accidents or Disasters,street,Dehtyarivska Street,"[50.4538219, 30.4882207]"
2024-09-23T18:43:49+00:00,Straw INFO - Solomianskyi District,12936,"〽️ Starting tomorrow, McDonald's at Sevastopol Square will close for repairs.",negative,The McDonald's at Sevastopol Square will close for repairs starting tomorrow.,McDonald's to Close for Repairs,Citizen Discomfort,exact location,Sevastopol Square,"[44.61665, 33.525367]"
2024-09-23T12:33:03+00:00,Straw INFO - Solomianskyi District,12925,"KP UZN of the Solomianskyi district ℹ️ informs:

As part of the World Cleanup Day, we joined the cleanup that took place on Zaliznychna Street, where together with other communal enterprises and organizations of the district, we organized the area after the dismantling of illegal garages.",positive,"As part of World Cleanup Day, KP UZN of the Solomianskyi district participated in a cleanup on Zaliznychna Street, collaborating with other local organizations to clear the area after illegal garages were dismantled.",Cleanup Event on Zaliznychna Street,Environmental Improvements,street,Solomianskyi district,"[50.4282552, 30.4529175]"
2024-09-23T12:33:03+00:00,Straw INFO - Solomianskyi District,12925,"KP UZN of the Solomianskyi district ℹ️ informs:

As part of the World Cleanup Day, we joined the cleanup that took place on Zaliznychna Street, where together with other communal enterprises and organizations of the district, we organized the area after the dismantling of illegal garages.",positive,"As part of World Cleanup Day, KP UZN of the Solomianskyi district participated in a cleanup on Zaliznychna Street, collaborating with other local organizations to clear the area after illegal garages were dismantled.",Cleanup Event on Zaliznychna Street,Environmental Improvements,street,Zaliznychna Street,"[49.8429297, 23.9977868]"
2024-09-23T12:31:31+00:00,Straw INFO - Solomianskyi District,12924,"❗️ Starting September 24, major repairs of the escalators will begin at the ""Beresteiska"" metro station.

The planned repairs will start on escalator No. 1 and will last approximately until November 12. This escalator was last majorly repaired in 2012.",negative,"Major repairs on the escalators at the 'Beresteiska' metro station will begin on September 24, starting with escalator No. 1, and are expected to last until approximately November 12.",Escalator Repairs at Beresteiska Metro,Citizen Discomfort,exact location,Beresteiska metro station,"[50.4593178, 30.4186364]"
2024-09-20T20:34:35+00:00,Straw INFO - Solomianskyi District,12894,👀 This is what the morning looked like today in Vidradne due to air pollution.,negative,"This morning, Vidradne experienced significant air pollution.",Morning Haze in Vidradne,Environmental concerns,exact location,Vidradne,"[44.5057623, 34.2146208]"
2024-09-20T19:23:01+00:00,Straw INFO - Solomianskyi District,12891,"🇺🇦 KOLIZHANKA HUB invites you to a women's charity meeting ""Angels of GOOD""

Join us at Vcentri Hub Solomianskyi to create Angels of ""GOOD"" for World Prematurity Day.

More details 👇

This is an annual tradition initiated by the CHARITY FOUNDATION ""ANNA MY"", which provides warmth and support to mothers caring for their tiny ones in perinatal centers.

You will have the opportunity to create two angels:
👼 One for yourself, as a talisman
👼 The second - for premature babies

✨ The meeting will be led by art therapist, psychologist, resource guide, and specialist working with mothers at the Family Art Therapy Center #Pospyshaychyky, Iryna Hassan.

📍 Vcentri Hub Solomianskyi | Volynska St., 28/17

🗓 Saturday, September 21

⏰ 11:00 AM – 1:00 PM

🌐 Registration via the link: https://forms.gle/rWi47WwCgdEvQD7fA",positive,"KOLIZHANKA HUB is hosting a women's charity meeting titled 'Angels of GOOD' at Vcentri Hub Solomianskyi on September 21, aimed at supporting mothers of premature babies.",Women's Charity Meeting in Kyiv,Community Events or Achievements,exact location,Vcentri Hub Solomianskyi,"[50.4277302, 30.4498082]"
2024-09-20T18:56:31+00:00,Straw INFO - Solomianskyi District,12887,"The Public Organization Community of Protasov Yar ℹ️ informs:

Community! Friends!

Yesterday we witnessed another important and historic event on the path to victory in the functioning of the nature reserve named after Roman Ratushny ""Protasiv Yar"". The deputies of the Kyiv City Council supported and adopted extremely important decisions:

● ""On the statement of the Kyiv City Council regarding the status of the local significance landscape reserve ""Protasiv Yar"" named after Roman Ratushny"" No. 654

● ""On organizational and legal measures to protect the local significance landscape reserve ""Protasiv Yar"" named after Roman Ratushny"" No. 653

We sincerely thank the deputies for their support and the decisions made, which are of great importance for the community and the future of our city!",positive,The Kyiv City Council has adopted important measures to protect the local significance landscape reserve 'Protasiv Yar' named after Roman Ratushny.,Protasiv Yar Reserve Protected,Political Stability/Positive Reforms,exact location,Protasiv Yar,"[50.4241074, 30.49896829999999]"
2024-09-19T18:33:01+00:00,Straw INFO - Solomianskyi District,12842,"✅All interested are invited to visit the Fair ""Workshop for Peace"" in Vidradnyi Park.

🗓 September 20-22, 2024, to purchase various handmade products and toys and to try various treats and drinks.

There will be goods for everyone, from small to adult, to suit any taste.",positive,"The 'Workshop for Peace' fair will take place in Vidradnyi Park from September 20-22, 2024, featuring handmade products and various food options.",Upcoming Fair in Vidradnyi Park,Community Events or Achievements,exact location,Vidradnyi Park,"[50.4311122, 30.4235445]"
2024-09-19T11:35:10+00:00,Straw INFO - Solomianskyi District,12834,"🍁 **Kyiv City Council will consider a draft resolution on the purchase of Protasov Yar from private ownership to preserve the nature reserve in its current form.**

This was reported by the Deputy Mayor - Secretary of the Kyiv City Council Volodymyr Bondarenko.",positive,The Kyiv City Council will consider a resolution to purchase Protasov Yar to preserve the nature reserve.,Kyiv City Council to Preserve Nature Reserve,Environmental Improvements,exact location,Protasov Yar,"[50.4226568, 30.5012244]"
2024-09-19T05:53:14+00:00,Straw INFO - Solomianskyi District,12829,"⚡️ **Kyiv City Council will consider another ""toilet scheme"" for the construction of a residential complex.**

On September 19, the Kyiv City Council will consider another ""toilet scheme"" for the construction of a residential complex. This concerns the construction of a residential complex on a site where there is currently a parking lot, at the intersection of Shalimova and Huzara Streets.

This was reported by Kyiv City Council member Ksenia Semenova.",negative,The Kyiv City Council will review a proposal for a residential complex construction at the intersection of Shalimova and Huzara Streets.,Controversial Residential Complex Proposal,Other,street,Shalimova Street,"[49.9733498, 36.3201918]"
2024-09-19T05:53:14+00:00,Straw INFO - Solomianskyi District,12829,"⚡️ **Kyiv City Council will consider another ""toilet scheme"" for the construction of a residential complex.**

On September 19, the Kyiv City Council will consider another ""toilet scheme"" for the construction of a residential complex. This concerns the construction of a residential complex on a site where there is currently a parking lot, at the intersection of Shalimova and Huzara Streets.

This was reported by Kyiv City Council member Ksenia Semenova.",negative,The Kyiv City Council will review a proposal for a residential complex construction at the intersection of Shalimova and Huzara Streets.,Controversial Residential Complex Proposal,Other,street,Huzara Street,"[24.9144976, 66.9645785]"
2024-09-18T07:10:33+00:00,Straw INFO - Solomianskyi District,12814,The renovation of the theater on Yerevanska Street for 10 million UAH has begun.,positive,"Renovation work has commenced on the theater located on Yerevanska Street, with a budget of 10 million UAH.",Theater Renovation Begins,Improvements in Infrastructure,street,Yerevanska Street,"[48.4289381, 22.7240532]"
2024-09-18T06:06:44+00:00,Straw INFO - Solomianskyi District,12810,"**The movement of trolleybuses No. 8, 9k, 22k, 30, 35, 40, 40k, 42 is delayed.**

The movement of trolleybuses No. 8, 9k, 22k, 30, 35, 40, 40k, 42 at Sevastopol Square is delayed due to technical reasons. The responsible service of the enterprise has been dispatched to the site.",negative,"The operation of trolleybuses No. 8, 9k, 22k, 30, 35, 40, 40k, and 42 at Sevastopol Square is currently delayed due to technical issues, with a service team dispatched to address the situation.",Trolleybus Delays at Sevastopol Square,Citizen Discomfort,exact location,Sevastopol Square,"[44.61665, 33.525367]"
2024-09-17T18:38:30+00:00,Straw INFO - Solomianskyi District,12803,❗️Traffic accident at Solomianska Square.,negative,A traffic accident has occurred at Solomianska Square.,Traffic Accident at Solomianska Square,Accidents or Disasters,exact location,Solomianska Square,"[50.4313864, 30.4704653]"
2024-09-14T07:24:01+00:00,Straw INFO - Solomianskyi District,12743,"⚡ Watermelon weekends at Kyiv Zoo: this weekend, the residents of the bear continent will enjoy the berries, — KMDA.

For the animals, this is not just a treat, but part of an important enrichment program. Admission for adults is 220 UAH, and for children — 130 UAH.",positive,"This weekend, the Kyiv Zoo will host 'watermelon weekends' for its bear residents as part of an enrichment program, with admission fees set at 220 UAH for adults and 130 UAH for children.",Watermelon Treats at Zoo,Community Events or Achievements,exact location,Kyiv Zoo,"[50.4549073, 30.4651811]"
2024-09-13T10:02:18+00:00,Straw INFO - Solomianskyi District,12735,"Smoke is coming from the building of an abandoned pool in Vidradnyi, probably set on fire again by homeless people.",negative,"Smoke is emanating from an abandoned pool building in Vidradnyi, likely set on fire again by homeless individuals.",Smoke from Abandoned Pool,Accidents or Disasters,exact location,Vidradnyi,"[50.4311122, 30.4235445]"
2024-09-13T10:01:52+00:00,Straw INFO - Solomianskyi District,12734,"Attention! #Wanted!

A female individual came into the ""Prostor"" store in Vidradnyi, where she stole goods worth 5000 hryvnias.
By the way, it seems she is also pregnant.

Maybe someone will recognize her?",negative,A woman is wanted for stealing goods worth 5000 hryvnias from the 'Prostor' store in Vidradnyi; she is reportedly pregnant.,Wanted: Pregnant Shoplifter,Crime or Safety Concerns,exact location,Vidradnyi,"[50.4311122, 30.4235445]"
2024-09-13T06:02:21+00:00,Straw INFO - Solomianskyi District,12730,"**The movement of trolleybuses No. 3, 40, 40k is delayed.**

The movement of trolleybuses No. 3, 40, 41 on Solomianska Street is delayed due to technical reasons. The responsible service of the enterprise has been dispatched to the scene.",negative,"Trolleybus services No. 3, 40, and 41 are experiencing delays on Solomianska Street due to technical issues.",Trolleybus Delays Reported,Citizen Discomfort,street,Solomianska Street,"[50.4233249, 30.4805921]"
2024-09-13T05:45:18+00:00,Straw INFO - Solomianskyi District,12728,**Tram traffic on routes No. 14 and 15 is delayed**. The movement of trams No. 14 and 15 on Vasylenka Street towards Starovokzalna Street is delayed for technical reasons. A responsible service of the company has been dispatched to the site.,negative,Tram services on routes No. 14 and 15 are delayed on Vasylenka Street due to technical reasons.,Tram Delays on Vasylenka Street,Citizen Discomfort,street,Vasylenka Street,"[50.4484937, 30.4194663]"
2024-09-12T06:23:03+00:00,Straw INFO - Solomianskyi District,12693,🚧Utility workers have partially localized the leak at the intersection of Holosiivska and Horyana streets. A vehicle has partially sunk under the asphalt at the site of the damage. Further work is currently suspended as other vehicles are parked nearby. Traffic is limited to two lanes out of four in the direction of Holosiivskyi Avenue.,negative,"Utility workers have partially contained a leak at the intersection of Holosiivska and Horyana streets, causing traffic restrictions.",Utility Leak Addressed in Kyiv,City Problems,exact location,Holosiivska Street,"[50.4000293, 30.51907]"
2024-09-12T06:23:03+00:00,Straw INFO - Solomianskyi District,12693,🚧Utility workers have partially localized the leak at the intersection of Holosiivska and Horyana streets. A vehicle has partially sunk under the asphalt at the site of the damage. Further work is currently suspended as other vehicles are parked nearby. Traffic is limited to two lanes out of four in the direction of Holosiivskyi Avenue.,negative,"Utility workers have partially contained a leak at the intersection of Holosiivska and Horyana streets, causing traffic restrictions.",Utility Leak Addressed in Kyiv,City Problems,exact location,Horyana Street,"[48.431532, 35.0543615]"
2024-09-11T05:41:34+00:00,Straw INFO - Solomianskyi District,12665,"⚡ Wild traffic jams in Kyiv: on the right bank, traffic has built up on Beresteyskyi Avenue from Zhytomyrska to Beresteiska and from Shuliavska to Halytska Square, — eyewitnesses.",negative,Traffic jams have been reported on Beresteyskyi Avenue and other major roads in Kyiv.,Wild Traffic Jams Reported,Citizen Discomfort,street,Beresteyskyi Avenue,"[50.4587577, 30.4194449]"
2024-09-10T11:55:43+00:00,Straw INFO - Solomianskyi District,12655,"⚠️ **Collision of a car with a trolleybus: Kyiv police are establishing the circumstances of the accident in the Solomianskyi district.**

The traffic accident occurred today in the afternoon on Borshchahivska Street in the Solomianskyi district of Kyiv. Investigators from the police department and patrol officers are still working at the scene.

According to preliminary information, the driver of a Suzuki car, born in 1954, lost control, crossed into the oncoming lane, and collided with a trolleybus that was stopped due to an accident involving a Nissan car.

As a result of the collision, a passenger of the car, born in 1952, and an elderly woman standing near the trolleybus were injured. The injured were hospitalized for medical assistance.

Police continue to work at the scene, and the legal qualification of the incident is being determined.",negative,A traffic accident involving a car and a trolleybus occurred on Borshchahivska Street in the Solomianskyi district. Preliminary reports indicate that a Suzuki driver lost control and collided with a stationary trolleybus. Two individuals were injured and hospitalized. Police are investigating the incident.,Car-Trolleybus Collision in Solomianskyi,Accidents or Disasters,street,Borshchahivska Street,"[50.446083, 30.4571071]"
2024-09-10T11:55:43+00:00,Straw INFO - Solomianskyi District,12655,"⚠️ **Collision of a car with a trolleybus: Kyiv police are establishing the circumstances of the accident in the Solomianskyi district.**

The traffic accident occurred today in the afternoon on Borshchahivska Street in the Solomianskyi district of Kyiv. Investigators from the police department and patrol officers are still working at the scene.

According to preliminary information, the driver of a Suzuki car, born in 1954, lost control, crossed into the oncoming lane, and collided with a trolleybus that was stopped due to an accident involving a Nissan car.

As a result of the collision, a passenger of the car, born in 1952, and an elderly woman standing near the trolleybus were injured. The injured were hospitalized for medical assistance.

Police continue to work at the scene, and the legal qualification of the incident is being determined.",negative,A traffic accident involving a car and a trolleybus occurred on Borshchahivska Street in the Solomianskyi district. Preliminary reports indicate that a Suzuki driver lost control and collided with a stationary trolleybus. Two individuals were injured and hospitalized. Police are investigating the incident.,Car-Trolleybus Collision in Solomianskyi,Accidents or Disasters,street,Solomianskyi district,"[50.4282552, 30.4529175]"
2024-09-10T11:51:48+00:00,Straw INFO - Solomianskyi District,12652,"Repair work on Lypkivskyi continues.

One lane in the direction of Solomianska Square is closed.",negative,"Repair work on Lypkivskyi is ongoing, resulting in the closure of one lane towards Solomianska Square.",Lane Closure for Repairs,Citizen Discomfort,street,Solomianska Square,"[50.4313864, 30.4704653]"
2024-09-10T08:43:59+00:00,Straw INFO - Solomianskyi District,12649,"**The movement of trolleybuses No. 22k, 27, 30, 42 is delayed.**

The movement of trolleybuses No. 22k, 27, 30, 42 on Hetmana Street is delayed due to an accident. Police have been called to the scene.",negative,"The operation of trolleybuses No. 22k, 27, 30, and 42 on Hetmana Street is delayed due to an accident, with police responding to the scene.",Trolleybus Delays Due to Accident,Citizen Discomfort,street,Hetmana Street,"[48.5239882, 25.0302734]"
2024-09-10T08:18:31+00:00,Straw INFO - Solomianskyi District,12647,"🚶‍➡️🛣️ In Kyiv, two new ground crossings are being arranged to duplicate the underground and above-ground ones.

Work is being carried out at the crossings: across Hetmana Street on Oleksy Tykhyi Street and across Valerii Lobanovskyi Avenue on Demiivska Street. The lowering of the curb has already been completed, and the work is expected to be fully finished by the end of 2024.",positive,"Two new ground crossings are being constructed in Kyiv to supplement existing underground and above-ground crossings. Work is underway on Hetmana Street and Valerii Lobanovskyi Avenue, with completion expected by the end of 2024.",New Ground Crossings Under Construction,Improvements in Infrastructure,street,Hetmana Street,"[48.5239882, 25.0302734]"
2024-09-10T08:18:31+00:00,Straw INFO - Solomianskyi District,12647,"🚶‍➡️🛣️ In Kyiv, two new ground crossings are being arranged to duplicate the underground and above-ground ones.

Work is being carried out at the crossings: across Hetmana Street on Oleksy Tykhyi Street and across Valerii Lobanovskyi Avenue on Demiivska Street. The lowering of the curb has already been completed, and the work is expected to be fully finished by the end of 2024.",positive,"Two new ground crossings are being constructed in Kyiv to supplement existing underground and above-ground crossings. Work is underway on Hetmana Street and Valerii Lobanovskyi Avenue, with completion expected by the end of 2024.",New Ground Crossings Under Construction,Improvements in Infrastructure,street,Valerii Lobanovskyi Avenue,"[50.4125989, 30.4836221]"
